source_image,class_prefix,gt_regime,pred_regime,D_i,P_i,S_i,E_i
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,MICROPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,MICROPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,MICROPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,MICROPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,MICROPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,MICROPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET 5000X 1.png,PET,NANOPLASTIC,,False,False,,False
PET_PET 5000X 1.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,NANOPLASTIC,True,True,False,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,MICROPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,MICROPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,MICROPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,MICROPLASTIC,MICROPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,MICROPLASTIC,True,True,False,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,NANOPLASTIC,True,True,True,True
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
PET_PET-2000X-2.png,PET,NANOPLASTIC,,False,False,,False
