image_path,label,split,source_image
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_261.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_47.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_276.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_16.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_468.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_568.png,PE,train,PELFT 2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_225.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_319.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_491.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_219.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_426.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_562.png,PE,train,PELFT 2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_51.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_31.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-3000X_401.png,PE,train,PE-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_84.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_78.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-3_197.png,PE,train,PE 500-3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_223.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_63.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_240.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_448.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_266.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_302.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-3000X_398.png,PE,train,PE-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_330.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_514.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_331.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_483.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_502.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_221.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_516.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_283.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_216.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_60.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_69.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X_388.png,PE,train,PE-2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_277.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_253.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_461.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X_384.png,PE,train,PE-2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-3_375.png,PE,train,PE-2000X-3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_295.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_351.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_13.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_484.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_345.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-3_377.png,PE,train,PE-2000X-3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_517.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-3_204.png,PE,train,PE 500-3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_290.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_128.png,PE,train,PE 3000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_314.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-2_361.png,PE,train,PE-2000X-2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_519.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_497.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_120.png,PE,train,PE 3000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_334.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_565.png,PE,train,PELFT 2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_265.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_481.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_293.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-3000X_405.png,PE,train,PE-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_470.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_20.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_15.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_546.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_236.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_434.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_327.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_420.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_473.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_132.png,PE,train,PE 3000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-3_368.png,PE,train,PE-2000X-3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_443.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_36.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_87.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_332.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-2_358.png,PE,train,PE-2000X-2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_446.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_543.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_127.png,PE,train,PE 3000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_556.png,PE,train,PELFT 2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_309.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_218.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-3_196.png,PE,train,PE 500-3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_310.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_503.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_520.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_428.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_322.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 2000X2_117.png,PE,train,PE 2000X2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_548.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_536.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_469.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_229.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_421.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_48.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_316.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_79.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_138.png,PE,train,PE 3000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_423.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_343.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_82.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_126.png,PE,train,PE 3000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_72.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_280.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_121.png,PE,train,PE 3000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_227.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_212.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-2_194.png,PE,train,PE 500-2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_454.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_206.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_282.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_208.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_11.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_28.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_220.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X_382.png,PE,train,PE-2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_86.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_452.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X_387.png,PE,train,PE-2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_263.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_509.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_353.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_526.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_76.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_245.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-3_198.png,PE,train,PE 500-3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_209.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_242.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_482.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_235.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_342.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-2_362.png,PE,train,PE-2000X-2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_255.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_288.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_210.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-3_365.png,PE,train,PE-2000X-3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-5000x-1_412.png,PE,train,PE-5000x-1.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_275.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_318.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_474.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_27.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_525.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_30.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-3_195.png,PE,train,PE 500-3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_244.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-3_369.png,PE,train,PE-2000X-3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-2_359.png,PE,train,PE-2000X-2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-5000x-1_410.png,PE,train,PE-5000x-1.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_553.png,PE,train,PELFT 2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_214.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-2_357.png,PE,train,PE-2000X-2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_249.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-3000X_399.png,PE,train,PE-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_268.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_545.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_494.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_23.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_65.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_85.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-5000x-1_409.png,PE,train,PE-5000x-1.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_49.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_272.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_564.png,PE,train,PELFT 2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_333.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_349.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_252.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_243.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_292.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_441.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_496.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_326.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_131.png,PE,train,PE 3000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_505.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X_395.png,PE,train,PE-2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_274.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_305.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_354.png,PE,train,PE-2-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_465.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-3_380.png,PE,train,PE-2000X-3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X_389.png,PE,train,PE-2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_136.png,PE,train,PE 3000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_52.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_70.png,PE,train,PE 1000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_257.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_521.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-3000X_406.png,PE,train,PE-3000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_466.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_495.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_574.png,PE,train,PELFT 2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_306.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_572.png,PE,train,PELFT 2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_433.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_271.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-1_178.png,PE,train,PE 500-1.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_29.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_298.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-1_183.png,PE,train,PE 500-1.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_439.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_500.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-3_378.png,PE,train,PE-2000X-3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_542.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_570.png,PE,train,PELFT 2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_537.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_445.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_523.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_512.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_37.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_285.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_437.png,PE,train,PEL 200X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 2000X2_118.png,PE,train,PE 2000X2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_311.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_135.png,PE,train,PE 3000X 3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_558.png,PE,train,PELFT 2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_35.png,PE,train,PE 1000X 2.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-3_379.png,PE,train,PE-2000X-3.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_232.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_527.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_552.png,PE,train,PELFT 2000X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_486.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_286.png,PE,train,PE-1000x.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_492.png,PE,train,PEL 500X.png
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_137.png,PE,train,PE 3000X 3.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PELFT 500X_612.png,PE,val,PELFT 500X.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PE 3000X_148.png,PE,val,PE 3000X.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PE 3000X2_167.png,PE,val,PE 3000X2.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PELFT 500X_578.png,PE,val,PELFT 500X.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PELFT 500X_608.png,PE,val,PELFT 500X.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PELFT 500X_590.png,PE,val,PELFT 500X.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PE 3000X2_166.png,PE,val,PE 3000X2.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PE 2000X_113.png,PE,val,PE 2000X.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PE 3000X_139.png,PE,val,PE 3000X.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PE 3000X2_159.png,PE,val,PE 3000X2.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PELFT 500X_599.png,PE,val,PELFT 500X.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PE 3000X_140.png,PE,val,PE 3000X.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PE 3000X2_153.png,PE,val,PE 3000X2.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PE 3000X_152.png,PE,val,PE 3000X.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PELFT 500X_598.png,PE,val,PELFT 500X.png
resultados/01_extract_real_crops/data/real_crops/val/PE/PELFT 500X_609.png,PE,val,PELFT 500X.png
