image_path,label,split,source_image,ann_id,magnification,bbox_w,bbox_h,px_size,um_per_px,size_nm,polymer_label
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_63.png,MICROPLASTIC,train,PE 1000X 3.png,63,1000,7,10,10,0.1,1000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_240.png,MICROPLASTIC,train,PE-1000x.png,240,1000,17,14,17,0.1,1700.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_448.png,MICROPLASTIC,train,PEL 200X.png,448,200,13,14,14,0.5,7000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_266.png,MICROPLASTIC,train,PE-1000x.png,266,1000,12,11,12,0.1,1200.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_302.png,NANOPLASTIC,train,PE-1000x.png,302,1000,7,5,7,0.1,700.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-3000X_398.png,NANOPLASTIC,train,PE-3000X.png,398,3000,16,15,16,0.03333333333333333,533.3333333333334,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_330.png,NANOPLASTIC,train,PE-2-3000X.png,330,3000,12,13,13,0.03333333333333333,433.33333333333337,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_514.png,MICROPLASTIC,train,PEL 500X.png,514,500,11,8,11,0.2,2200.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_331.png,NANOPLASTIC,train,PE-2-3000X.png,331,3000,10,10,10,0.03333333333333333,333.3333333333333,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_483.png,MICROPLASTIC,train,PEL 500X.png,483,500,8,7,8,0.2,1600.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_502.png,MICROPLASTIC,train,PEL 500X.png,502,500,11,5,11,0.2,2200.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_221.png,NANOPLASTIC,train,PE-1000x.png,221,1000,6,7,7,0.1,700.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_516.png,MICROPLASTIC,train,PEL 500X.png,516,500,7,6,7,0.2,1400.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_283.png,NANOPLASTIC,train,PE-1000x.png,283,1000,9,5,9,0.1,900.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_216.png,MICROPLASTIC,train,PE-1000x.png,216,1000,12,6,12,0.1,1200.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_60.png,MICROPLASTIC,train,PE 1000X 3.png,60,1000,12,9,12,0.1,1200.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_69.png,MICROPLASTIC,train,PE 1000X 3.png,69,1000,21,22,22,0.1,2200.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X_388.png,MICROPLASTIC,train,PE-2000X.png,388,2000,26,15,26,0.05,1300.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_277.png,NANOPLASTIC,train,PE-1000x.png,277,1000,8,5,8,0.1,800.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_253.png,NANOPLASTIC,train,PE-1000x.png,253,1000,6,7,7,0.1,700.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_461.png,MICROPLASTIC,train,PEL 200X.png,461,200,11,7,11,0.5,5500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X_384.png,MICROPLASTIC,train,PE-2000X.png,384,2000,32,20,32,0.05,1600.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-3_375.png,NANOPLASTIC,train,PE-2000X-3.png,375,2000,11,10,11,0.05,550.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_295.png,MICROPLASTIC,train,PE-1000x.png,295,1000,10,7,10,0.1,1000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_351.png,NANOPLASTIC,train,PE-2-3000X.png,351,3000,15,19,19,0.03333333333333333,633.3333333333333,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_13.png,MICROPLASTIC,train,PE 1000X 2.png,13,1000,25,40,40,0.1,4000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_484.png,MICROPLASTIC,train,PEL 500X.png,484,500,10,11,11,0.2,2200.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_345.png,NANOPLASTIC,train,PE-2-3000X.png,345,3000,20,19,20,0.03333333333333333,666.6666666666666,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-3_377.png,NANOPLASTIC,train,PE-2000X-3.png,377,2000,17,13,17,0.05,850.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_517.png,MICROPLASTIC,train,PEL 500X.png,517,500,7,6,7,0.2,1400.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-3_204.png,MICROPLASTIC,train,PE 500-3.png,204,500,6,6,6,0.2,1200.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_290.png,MICROPLASTIC,train,PE-1000x.png,290,1000,12,9,12,0.1,1200.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_128.png,MICROPLASTIC,train,PE 3000X 3.png,128,3000,23,33,33,0.03333333333333333,1100.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_314.png,NANOPLASTIC,train,PE-1000x.png,314,1000,6,6,6,0.1,600.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-2_361.png,NANOPLASTIC,train,PE-2000X-2.png,361,2000,13,11,13,0.05,650.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_519.png,MICROPLASTIC,train,PEL 500X.png,519,500,8,12,12,0.2,2400.0000000000005,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_497.png,MICROPLASTIC,train,PEL 500X.png,497,500,33,37,37,0.2,7400.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_120.png,NANOPLASTIC,train,PE 3000X 3.png,120,3000,20,24,24,0.03333333333333333,800.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_334.png,NANOPLASTIC,train,PE-2-3000X.png,334,3000,7,8,8,0.03333333333333333,266.6666666666667,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_565.png,NANOPLASTIC,train,PELFT 2000X.png,565,2000,12,11,12,0.05,600.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_265.png,NANOPLASTIC,train,PE-1000x.png,265,1000,5,6,6,0.1,600.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_481.png,MICROPLASTIC,train,PEL 500X.png,481,500,8,5,8,0.2,1600.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_293.png,MICROPLASTIC,train,PE-1000x.png,293,1000,14,16,16,0.1,1600.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-3000X_405.png,NANOPLASTIC,train,PE-3000X.png,405,3000,15,15,15,0.03333333333333333,500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_470.png,MICROPLASTIC,train,PEL 200X.png,470,200,9,7,9,0.5,4500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_20.png,MICROPLASTIC,train,PE 1000X 2.png,20,1000,17,9,17,0.1,1700.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_15.png,MICROPLASTIC,train,PE 1000X 2.png,15,1000,9,10,10,0.1,1000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_546.png,MICROPLASTIC,train,PEL 500X.png,546,500,39,30,39,0.2,7800.000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_236.png,NANOPLASTIC,train,PE-1000x.png,236,1000,6,7,7,0.1,700.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_434.png,MICROPLASTIC,train,PEL 200X.png,434,200,14,11,14,0.5,7000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_327.png,NANOPLASTIC,train,PE-2-3000X.png,327,3000,8,8,8,0.03333333333333333,266.6666666666667,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_420.png,MICROPLASTIC,train,PEL 200X.png,420,200,27,58,58,0.5,29000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_473.png,MICROPLASTIC,train,PEL 200X.png,473,200,9,6,9,0.5,4500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_132.png,NANOPLASTIC,train,PE 3000X 3.png,132,3000,11,10,11,0.03333333333333333,366.66666666666663,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-3_368.png,MICROPLASTIC,train,PE-2000X-3.png,368,2000,40,25,40,0.05,2000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_443.png,MICROPLASTIC,train,PEL 200X.png,443,200,14,14,14,0.5,7000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_36.png,MICROPLASTIC,train,PE 1000X 2.png,36,1000,10,11,11,0.1,1100.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_87.png,NANOPLASTIC,train,PE 1000X 3.png,87,1000,6,8,8,0.1,800.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_332.png,NANOPLASTIC,train,PE-2-3000X.png,332,3000,15,9,15,0.03333333333333333,500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-2_358.png,MICROPLASTIC,train,PE-2000X-2.png,358,2000,57,41,57,0.05,2850.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_446.png,MICROPLASTIC,train,PEL 200X.png,446,200,10,12,12,0.5,6000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_543.png,MICROPLASTIC,train,PEL 500X.png,543,500,13,16,16,0.2,3200.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_127.png,NANOPLASTIC,train,PE 3000X 3.png,127,3000,24,17,24,0.03333333333333333,800.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PELFT 2000X_556.png,MICROPLASTIC,train,PELFT 2000X.png,556,2000,214,244,244,0.05,12200.000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_309.png,NANOPLASTIC,train,PE-1000x.png,309,1000,9,9,9,0.1,900.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_218.png,MICROPLASTIC,train,PE-1000x.png,218,1000,10,8,10,0.1,1000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-3_196.png,MICROPLASTIC,train,PE 500-3.png,196,500,10,10,10,0.2,2000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_310.png,NANOPLASTIC,train,PE-1000x.png,310,1000,4,5,5,0.1,500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_503.png,MICROPLASTIC,train,PEL 500X.png,503,500,5,9,9,0.2,1800.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_520.png,MICROPLASTIC,train,PEL 500X.png,520,500,7,11,11,0.2,2200.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_428.png,MICROPLASTIC,train,PEL 200X.png,428,200,24,18,24,0.5,12000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_322.png,NANOPLASTIC,train,PE-2-3000X.png,322,3000,12,12,12,0.03333333333333333,400.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 2000X2_117.png,NANOPLASTIC,train,PE 2000X2.png,117,2000,15,8,15,0.05,750.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_548.png,MICROPLASTIC,train,PEL 500X.png,548,500,100,60,100,0.2,20000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_536.png,MICROPLASTIC,train,PEL 500X.png,536,500,14,12,14,0.2,2800.0000000000005,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_469.png,MICROPLASTIC,train,PEL 200X.png,469,200,11,8,11,0.5,5500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_229.png,NANOPLASTIC,train,PE-1000x.png,229,1000,7,7,7,0.1,700.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_421.png,MICROPLASTIC,train,PEL 200X.png,421,200,52,47,52,0.5,26000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_48.png,MICROPLASTIC,train,PE 1000X 3.png,48,1000,31,32,32,0.1,3200.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_316.png,NANOPLASTIC,train,PE-1000x.png,316,1000,8,6,8,0.1,800.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_79.png,MICROPLASTIC,train,PE 1000X 3.png,79,1000,7,11,11,0.1,1100.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_138.png,NANOPLASTIC,train,PE 3000X 3.png,138,3000,14,16,16,0.03333333333333333,533.3333333333334,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_423.png,MICROPLASTIC,train,PEL 200X.png,423,200,39,35,39,0.5,19500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_343.png,NANOPLASTIC,train,PE-2-3000X.png,343,3000,22,11,22,0.03333333333333333,733.3333333333333,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_82.png,MICROPLASTIC,train,PE 1000X 3.png,82,1000,10,8,10,0.1,1000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_126.png,NANOPLASTIC,train,PE 3000X 3.png,126,3000,26,22,26,0.03333333333333333,866.6666666666667,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_72.png,NANOPLASTIC,train,PE 1000X 3.png,72,1000,8,7,8,0.1,800.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_280.png,NANOPLASTIC,train,PE-1000x.png,280,1000,6,7,7,0.1,700.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 3000X 3_121.png,MICROPLASTIC,train,PE 3000X 3.png,121,3000,42,43,43,0.03333333333333333,1433.3333333333333,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_227.png,MICROPLASTIC,train,PE-1000x.png,227,1000,51,17,51,0.1,5100.000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_212.png,NANOPLASTIC,train,PE-1000x.png,212,1000,6,5,6,0.1,600.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-2_194.png,MICROPLASTIC,train,PE 500-2.png,194,500,7,9,9,0.2,1800.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_454.png,MICROPLASTIC,train,PEL 200X.png,454,200,30,17,30,0.5,15000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_206.png,MICROPLASTIC,train,PE-1000x.png,206,1000,9,10,10,0.1,1000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_282.png,NANOPLASTIC,train,PE-1000x.png,282,1000,9,6,9,0.1,900.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_208.png,NANOPLASTIC,train,PE-1000x.png,208,1000,9,7,9,0.1,900.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_11.png,MICROPLASTIC,train,PE 1000X 2.png,11,1000,10,13,13,0.1,1300.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 2_28.png,NANOPLASTIC,train,PE 1000X 2.png,28,1000,6,5,6,0.1,600.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_220.png,MICROPLASTIC,train,PE-1000x.png,220,1000,9,10,10,0.1,1000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X_382.png,NANOPLASTIC,train,PE-2000X.png,382,2000,9,11,11,0.05,550.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_86.png,NANOPLASTIC,train,PE 1000X 3.png,86,1000,8,8,8,0.1,800.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 200X_452.png,MICROPLASTIC,train,PEL 200X.png,452,200,16,18,18,0.5,9000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X_387.png,MICROPLASTIC,train,PE-2000X.png,387,2000,19,23,23,0.05,1150.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_263.png,NANOPLASTIC,train,PE-1000x.png,263,1000,9,7,9,0.1,900.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_509.png,MICROPLASTIC,train,PEL 500X.png,509,500,12,11,12,0.2,2400.0000000000005,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_353.png,MICROPLASTIC,train,PE-2-3000X.png,353,3000,36,22,36,0.03333333333333333,1200.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_526.png,MICROPLASTIC,train,PEL 500X.png,526,500,14,13,14,0.2,2800.0000000000005,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 1000X 3_76.png,MICROPLASTIC,train,PE 1000X 3.png,76,1000,11,9,11,0.1,1100.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_245.png,MICROPLASTIC,train,PE-1000x.png,245,1000,13,7,13,0.1,1300.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE 500-3_198.png,MICROPLASTIC,train,PE 500-3.png,198,500,13,12,13,0.2,2600.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_209.png,MICROPLASTIC,train,PE-1000x.png,209,1000,10,18,18,0.1,1800.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_242.png,NANOPLASTIC,train,PE-1000x.png,242,1000,9,7,9,0.1,900.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PEL 500X_482.png,MICROPLASTIC,train,PEL 500X.png,482,500,18,12,18,0.2,3600.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_235.png,NANOPLASTIC,train,PE-1000x.png,235,1000,8,7,8,0.1,800.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2-3000X_342.png,NANOPLASTIC,train,PE-2-3000X.png,342,3000,26,18,26,0.03333333333333333,866.6666666666667,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-2_362.png,MICROPLASTIC,train,PE-2000X-2.png,362,2000,28,20,28,0.05,1400.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_255.png,MICROPLASTIC,train,PE-1000x.png,255,1000,9,10,10,0.1,1000.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_288.png,NANOPLASTIC,train,PE-1000x.png,288,1000,6,5,6,0.1,600.0000000000001,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-1000x_210.png,MICROPLASTIC,train,PE-1000x.png,210,1000,25,20,25,0.1,2500.0,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-2000X-3_365.png,MICROPLASTIC,train,PE-2000X-3.png,365,2000,38,15,38,0.05,1900.0000000000002,PE
resultados/01_extract_real_crops/data/real_crops/train/PE/PE-5000x-1_412.png,MICROPLASTIC,train,PE-5000x-1.png,412,5000,52,31,52,0.02,1040.0,PE
